threshold,tar,far,genuine_above,impostor_above,total_genuine,total_impostor,youden_j
0.65,1.0,0.11436893203883496,200,1178,200,10300,0.8856310679611651
0.6430303030303031,1.0,0.11436893203883496,200,1178,200,10300,0.8856310679611651
0.64,1.0,0.14485436893203885,200,1492,200,10300,0.8551456310679612
0.6336363636363636,1.0,0.14485436893203885,200,1492,200,10300,0.8551456310679612
0.63,1.0,0.18165048543689322,200,1871,200,10300,0.8183495145631068
0.6242424242424243,1.0,0.18165048543689322,200,1871,200,10300,0.8183495145631068
0.62,1.0,0.22116504854368932,200,2278,200,10300,0.7788349514563107
0.6148484848484848,1.0,0.22116504854368932,200,2278,200,10300,0.7788349514563107
0.61,1.0,0.2689320388349515,200,2770,200,10300,0.7310679611650486
0.6054545454545455,1.0,0.2689320388349515,200,2770,200,10300,0.7310679611650486
0.6,1.0,0.3141747572815534,200,3236,200,10300,0.6858252427184466
0.596060606060606,1.0,0.3141747572815534,200,3236,200,10300,0.6858252427184466
0.59,1.0,0.3674757281553398,200,3785,200,10300,0.6325242718446602
0.5866666666666667,1.0,0.3674757281553398,200,3785,200,10300,0.6325242718446602
0.58,1.0,0.42330097087378643,200,4360,200,10300,0.5766990291262135
0.5772727272727272,1.0,0.42330097087378643,200,4360,200,10300,0.5766990291262135
0.57,1.0,0.49145631067961165,200,5062,200,10300,0.5085436893203883
0.5678787878787879,1.0,0.49145631067961165,200,5062,200,10300,0.5085436893203883
0.56,1.0,0.5541747572815534,200,5708,200,10300,0.4458252427184466
0.5584848484848485,1.0,0.5541747572815534,200,5708,200,10300,0.4458252427184466
0.55,1.0,0.6110679611650486,200,6294,200,10300,0.3889320388349514
0.5490909090909091,1.0,0.6110679611650486,200,6294,200,10300,0.3889320388349514
0.54,1.0,0.6683495145631068,200,6884,200,10300,0.33165048543689324
0.5396969696969697,1.0,0.6683495145631068,200,6884,200,10300,0.33165048543689324
0.5303030303030303,1.0,0.6683495145631068,200,6884,200,10300,0.33165048543689324
0.53,1.0,0.7249514563106796,200,7467,200,10300,0.2750485436893204
0.520909090909091,1.0,0.7249514563106796,200,7467,200,10300,0.2750485436893204
0.52,1.0,0.7735922330097087,200,7968,200,10300,0.2264077669902913
0.5115151515151515,1.0,0.7735922330097087,200,7968,200,10300,0.2264077669902913
0.51,1.0,0.8161165048543689,200,8406,200,10300,0.18388349514563107
0.5021212121212122,1.0,0.8161165048543689,200,8406,200,10300,0.18388349514563107
0.5,1.0,0.8574757281553398,200,8832,200,10300,0.1425242718446602
0.49272727272727274,1.0,0.8574757281553398,200,8832,200,10300,0.1425242718446602
0.49,1.0,0.883883495145631,200,9104,200,10300,0.11611650485436897
0.48333333333333334,1.0,0.883883495145631,200,9104,200,10300,0.11611650485436897
0.48,1.0,0.907378640776699,200,9346,200,10300,0.09262135922330095
0.47393939393939394,1.0,0.907378640776699,200,9346,200,10300,0.09262135922330095
0.47,1.0,0.9236893203883495,200,9514,200,10300,0.0763106796116505
