iteration,train_emotion,test_emotion,match_score,similarity,timestamp,result
35,neutral,disgust,0.28,0.07,20/09/2025 19:07,fail
35,neutral,neutral,0.33,1,20/09/2025 19:07,success
35,neutral,sleepiness,0.32,0.07,20/09/2025 19:07,fail
36,neutral,amused,0.31,0.07,20/09/2025 19:08,fail
36,neutral,anger,0.34,0.11,20/09/2025 19:08,success
36,neutral,disgust,0.28,0.07,20/09/2025 19:08,fail
36,neutral,neutral,0.33,1,20/09/2025 19:08,success
36,neutral,sleepiness,0.32,0.07,20/09/2025 19:08,fail
37,neutral,amused,0.31,0.07,20/09/2025 19:08,fail
37,neutral,anger,0.34,0.11,20/09/2025 19:08,success
37,neutral,disgust,0.28,0.07,20/09/2025 19:08,fail
37,neutral,neutral,0.33,1,20/09/2025 19:08,success
37,neutral,sleepiness,0.32,0.07,20/09/2025 19:08,fail
38,neutral,amused,0.31,0.07,20/09/2025 19:09,fail
38,neutral,anger,0.34,0.11,20/09/2025 19:09,success
38,neutral,disgust,0.28,0.07,20/09/2025 19:09,fail
38,neutral,neutral,0.33,1,20/09/2025 19:09,success
38,neutral,sleepiness,0.32,0.07,20/09/2025 19:09,fail
39,neutral,amused,0.31,0.07,20/09/2025 19:10,fail
39,neutral,anger,0.34,0.11,20/09/2025 19:10,success
39,neutral,disgust,0.28,0.07,20/09/2025 19:10,fail
39,neutral,neutral,0.33,1,20/09/2025 19:10,success
39,neutral,sleepiness,0.32,0.07,20/09/2025 19:10,fail
40,neutral,amused,0.31,0.07,20/09/2025 19:10,fail
40,neutral,anger,0.34,0.11,20/09/2025 19:10,success
40,neutral,disgust,0.28,0.07,20/09/2025 19:10,fail
40,neutral,neutral,0.33,1,20/09/2025 19:10,success
40,neutral,sleepiness,0.32,0.07,20/09/2025 19:10,fail
41,neutral,amused,0.31,0.07,20/09/2025 19:11,fail
41,neutral,anger,0.34,0.11,20/09/2025 19:11,success
41,neutral,disgust,0.28,0.07,20/09/2025 19:11,fail
41,neutral,neutral,0.33,1,20/09/2025 19:11,success
41,neutral,sleepiness,0.32,0.07,20/09/2025 19:11,fail
42,neutral,amused,0.31,0.07,20/09/2025 19:11,fail
42,neutral,anger,0.34,0.11,20/09/2025 19:11,success
42,neutral,disgust,0.28,0.07,20/09/2025 19:11,fail
42,neutral,neutral,0.33,1,20/09/2025 19:11,success
42,neutral,sleepiness,0.32,0.07,20/09/2025 19:11,fail
43,neutral,amused,0.31,0.07,20/09/2025 19:12,fail
43,neutral,anger,0.34,0.11,20/09/2025 19:12,success
43,neutral,disgust,0.28,0.07,20/09/2025 19:12,fail
43,neutral,neutral,0.33,1,20/09/2025 19:12,success
43,neutral,sleepiness,0.32,0.07,20/09/2025 19:12,fail
44,neutral,amused,0.31,0.07,20/09/2025 19:12,fail
44,neutral,anger,0.34,0.11,20/09/2025 19:12,success
44,neutral,disgust,0.28,0.07,20/09/2025 19:12,fail
44,neutral,neutral,0.33,1,20/09/2025 19:12,success
44,neutral,sleepiness,0.32,0.07,20/09/2025 19:12,fail
45,neutral,amused,0.31,0.07,20/09/2025 19:13,fail
45,neutral,anger,0.34,0.11,20/09/2025 19:13,success
45,neutral,disgust,0.28,0.07,20/09/2025 19:13,fail
45,neutral,neutral,0.33,1,20/09/2025 19:13,success
45,neutral,sleepiness,0.32,0.07,20/09/2025 19:13,fail
46,neutral,amused,0.31,0.07,20/09/2025 19:14,fail
46,neutral,anger,0.34,0.11,20/09/2025 19:14,success
46,neutral,disgust,0.28,0.07,20/09/2025 19:14,fail
46,neutral,neutral,0.33,1,20/09/2025 19:14,success
46,neutral,sleepiness,0.32,0.07,20/09/2025 19:14,fail
47,neutral,amused,0.31,0.07,20/09/2025 19:14,fail
47,neutral,anger,0.34,0.11,20/09/2025 19:14,success
47,neutral,disgust,0.28,0.07,20/09/2025 19:14,fail
47,neutral,neutral,0.33,1,20/09/2025 19:14,success
47,neutral,sleepiness,0.32,0.07,20/09/2025 19:14,fail
48,neutral,amused,0.31,0.07,20/09/2025 19:15,fail
48,neutral,anger,0.34,0.11,20/09/2025 19:15,success
48,neutral,disgust,0.28,0.07,20/09/2025 19:15,fail
48,neutral,neutral,0.33,1,20/09/2025 19:15,success
48,neutral,sleepiness,0.32,0.07,20/09/2025 19:15,fail
49,neutral,amused,0.31,0.07,20/09/2025 19:15,fail
49,neutral,anger,0.34,0.11,20/09/2025 19:15,success
49,neutral,disgust,0.28,0.07,20/09/2025 19:15,fail
49,neutral,neutral,0.33,1,20/09/2025 19:15,success
49,neutral,sleepiness,0.32,0.07,20/09/2025 19:15,fail
50,neutral,amused,0.31,0.07,20/09/2025 19:16,fail
50,neutral,anger,0.34,0.11,20/09/2025 19:16,success
50,neutral,disgust,0.28,0.07,20/09/2025 19:16,fail
50,neutral,neutral,0.33,1,20/09/2025 19:16,fail
50,neutral,sleepiness,0.32,0.07,20/09/2025 19:16,fail
51,neutral,amused,0.31,0.07,20/09/2025 19:16,fail
51,neutral,anger,0.34,0.11,20/09/2025 19:16,success
51,neutral,disgust,0.28,0.07,20/09/2025 19:16,fail
51,neutral,neutral,0.33,1,20/09/2025 19:16,success
51,neutral,sleepiness,0.32,0.07,20/09/2025 19:16,fail
52,neutral,amused,0.31,0.07,20/09/2025 19:17,fail
52,neutral,anger,0.34,0.11,20/09/2025 19:17,success
52,neutral,disgust,0.28,0.07,20/09/2025 19:17,fail
52,neutral,neutral,0.33,1,20/09/2025 19:17,success
52,neutral,sleepiness,0.32,0.07,20/09/2025 19:17,fail
53,neutral,amused,0.31,0.07,20/09/2025 19:17,fail
53,neutral,anger,0.34,0.11,20/09/2025 19:17,success
53,neutral,disgust,0.28,0.07,20/09/2025 19:17,fail
53,neutral,neutral,0.33,1,20/09/2025 19:17,success
53,neutral,sleepiness,0.32,0.07,20/09/2025 19:17,fail
54,neutral,amused,0.31,0.07,20/09/2025 19:18,fail
54,neutral,anger,0.34,0.11,20/09/2025 19:18,success
54,neutral,disgust,0.28,0.07,20/09/2025 19:18,fail
54,neutral,neutral,0.33,1,20/09/2025 19:18,success
54,neutral,sleepiness,0.32,0.07,20/09/2025 19:18,fail
55,neutral,amused,0.31,0.07,20/09/2025 19:19,fail
55,neutral,anger,0.34,0.11,20/09/2025 19:19,success
55,neutral,disgust,0.28,0.07,20/09/2025 19:19,fail
55,neutral,neutral,0.33,1,20/09/2025 19:19,success
55,neutral,sleepiness,0.32,0.07,20/09/2025 19:19,fail
56,neutral,amused,0.31,0.07,20/09/2025 19:19,fail
56,neutral,anger,0.34,0.11,20/09/2025 19:19,success
56,neutral,disgust,0.28,0.07,20/09/2025 19:19,fail
56,neutral,neutral,0.33,1,20/09/2025 19:19,success
56,neutral,sleepiness,0.32,0.07,20/09/2025 19:19,fail
57,neutral,amused,0.31,0.07,20/09/2025 19:20,fail
57,neutral,anger,0.34,0.11,20/09/2025 19:20,success
57,neutral,disgust,0.28,0.07,20/09/2025 19:20,fail
57,neutral,neutral,0.33,1,20/09/2025 19:20,success
57,neutral,sleepiness,0.32,0.07,20/09/2025 19:20,fail
58,neutral,amused,0.31,0.07,20/09/2025 19:20,fail
58,neutral,anger,0.34,0.11,20/09/2025 19:20,success
58,neutral,disgust,0.28,0.07,20/09/2025 19:20,fail
58,neutral,neutral,0.33,1,20/09/2025 19:20,fail
58,neutral,sleepiness,0.32,0.07,20/09/2025 19:20,fail
59,neutral,amused,0.31,0.07,20/09/2025 19:21,fail
59,neutral,anger,0.34,0.11,20/09/2025 19:21,success
59,neutral,disgust,0.28,0.07,20/09/2025 19:21,fail
59,neutral,neutral,0.33,1,20/09/2025 19:21,success
59,neutral,sleepiness,0.32,0.07,20/09/2025 19:21,fail
60,neutral,amused,0.31,0.07,20/09/2025 19:22,fail
60,neutral,anger,0.34,0.11,20/09/2025 19:22,success
60,neutral,disgust,0.28,0.07,20/09/2025 19:22,fail
60,neutral,neutral,0.33,1,20/09/2025 19:22,success
60,neutral,sleepiness,0.32,0.07,20/09/2025 19:22,fail
61,neutral,amused,0.31,0.07,20/09/2025 19:22,fail
61,neutral,anger,0.34,0.11,20/09/2025 19:22,success
61,neutral,disgust,0.28,0.07,20/09/2025 19:22,fail
61,neutral,neutral,0.33,1,20/09/2025 19:22,success
61,neutral,sleepiness,0.32,0.07,20/09/2025 19:22,fail
62,neutral,amused,0.31,0.07,20/09/2025 19:23,fail
62,neutral,anger,0.34,0.11,20/09/2025 19:23,success
62,neutral,disgust,0.28,0.07,20/09/2025 19:23,fail
62,neutral,neutral,0.33,1,20/09/2025 19:23,success
62,neutral,sleepiness,0.32,0.07,20/09/2025 19:23,fail
63,neutral,amused,0.31,0.07,20/09/2025 19:23,fail
63,neutral,anger,0.34,0.11,20/09/2025 19:23,success
63,neutral,disgust,0.28,0.07,20/09/2025 19:23,fail
63,neutral,neutral,0.33,1,20/09/2025 19:23,success
63,neutral,sleepiness,0.32,0.07,20/09/2025 19:23,fail
64,neutral,amused,0.31,0.07,20/09/2025 19:24,fail
64,neutral,anger,0.34,0.11,20/09/2025 19:24,success
64,neutral,disgust,0.28,0.07,20/09/2025 19:24,fail
64,neutral,neutral,0.33,1,20/09/2025 19:24,success
64,neutral,sleepiness,0.32,0.07,20/09/2025 19:24,fail
65,neutral,amused,0.31,0.07,20/09/2025 19:25,fail
65,neutral,anger,0.34,0.11,20/09/2025 19:25,success
65,neutral,disgust,0.28,0.07,20/09/2025 19:25,fail
65,neutral,neutral,0.33,1,20/09/2025 19:25,success
65,neutral,sleepiness,0.32,0.07,20/09/2025 19:25,fail
66,neutral,amused,0.31,0.07,20/09/2025 19:25,fail
66,neutral,anger,0.34,0.11,20/09/2025 19:25,success
66,neutral,disgust,0.28,0.07,20/09/2025 19:25,fail
66,neutral,neutral,0.33,1,20/09/2025 19:25,success
66,neutral,sleepiness,0.32,0.07,20/09/2025 19:25,fail
67,neutral,amused,0.31,0.07,20/09/2025 19:26,fail
67,neutral,anger,0.34,0.11,20/09/2025 19:26,success
67,neutral,disgust,0.28,0.07,20/09/2025 19:26,fail
67,neutral,neutral,0.33,1,20/09/2025 19:26,success
67,neutral,sleepiness,0.32,0.07,20/09/2025 19:26,fail
68,neutral,amused,0.31,0.07,20/09/2025 19:27,fail
68,neutral,anger,0.34,0.11,20/09/2025 19:27,success
68,neutral,disgust,0.28,0.07,20/09/2025 19:27,fail
68,neutral,neutral,0.33,1,20/09/2025 19:27,success
68,neutral,sleepiness,0.32,0.07,20/09/2025 19:27,fail
69,neutral,amused,0.31,0.07,20/09/2025 19:28,fail
69,neutral,anger,0.34,0.11,20/09/2025 19:28,success
69,neutral,disgust,0.28,0.07,20/09/2025 19:28,fail
69,neutral,neutral,0.33,1,20/09/2025 19:28,success
69,neutral,sleepiness,0.32,0.07,20/09/2025 19:28,fail
70,neutral,amused,0.31,0.07,20/09/2025 19:28,fail
70,neutral,anger,0.34,0.11,20/09/2025 19:28,success
70,neutral,disgust,0.28,0.07,20/09/2025 19:28,fail
70,neutral,neutral,0.33,1,20/09/2025 19:28,success
70,neutral,sleepiness,0.32,0.07,20/09/2025 19:28,fail
71,neutral,amused,0.31,0.07,20/09/2025 19:29,fail
71,neutral,anger,0.34,0.11,20/09/2025 19:29,success
71,neutral,disgust,0.28,0.07,20/09/2025 19:29,fail
71,neutral,neutral,0.33,1,20/09/2025 19:29,success
71,neutral,sleepiness,0.32,0.07,20/09/2025 19:29,fail
72,neutral,amused,0.31,0.07,20/09/2025 19:29,fail
72,neutral,anger,0.34,0.11,20/09/2025 19:29,success
72,neutral,disgust,0.28,0.07,20/09/2025 19:29,fail
72,neutral,neutral,0.33,1,20/09/2025 19:29,success
72,neutral,sleepiness,0.32,0.07,20/09/2025 19:29,fail
73,neutral,amused,0.31,0.07,20/09/2025 19:30,fail
73,neutral,anger,0.34,0.11,20/09/2025 19:30,success
73,neutral,disgust,0.28,0.07,20/09/2025 19:30,fail
73,neutral,neutral,0.33,1,20/09/2025 19:30,success
73,neutral,sleepiness,0.32,0.07,20/09/2025 19:30,fail
74,neutral,amused,0.31,0.07,20/09/2025 19:30,fail
74,neutral,anger,0.34,0.11,20/09/2025 19:30,success
74,neutral,disgust,0.28,0.07,20/09/2025 19:30,fail
74,neutral,neutral,0.33,1,20/09/2025 19:30,success
74,neutral,sleepiness,0.32,0.07,20/09/2025 19:30,fail
75,neutral,amused,0.31,0.07,20/09/2025 19:31,fail
75,neutral,anger,0.34,0.11,20/09/2025 19:31,success
75,neutral,disgust,0.28,0.07,20/09/2025 19:31,fail
75,neutral,neutral,0.33,1,20/09/2025 19:31,success
75,neutral,sleepiness,0.32,0.07,20/09/2025 19:31,fail
76,neutral,amused,0.31,0.07,20/09/2025 19:32,fail
76,neutral,anger,0.34,0.11,20/09/2025 19:32,success
76,neutral,disgust,0.28,0.07,20/09/2025 19:32,fail
76,neutral,neutral,0.33,1,20/09/2025 19:32,success
76,neutral,sleepiness,0.32,0.07,20/09/2025 19:32,fail
77,neutral,amused,0.31,0.07,20/09/2025 19:32,fail
77,neutral,anger,0.34,0.11,20/09/2025 19:32,success
77,neutral,disgust,0.28,0.07,20/09/2025 19:32,fail
77,neutral,neutral,0.33,1,20/09/2025 19:32,success
77,neutral,sleepiness,0.32,0.07,20/09/2025 19:32,fail
78,neutral,amused,0.31,0.07,20/09/2025 19:33,fail
78,neutral,anger,0.34,0.11,20/09/2025 19:33,success
78,neutral,disgust,0.28,0.07,20/09/2025 19:33,fail
78,neutral,neutral,0.33,1,20/09/2025 19:33,success
78,neutral,sleepiness,0.32,0.07,20/09/2025 19:33,fail
79,neutral,amused,0.31,0.07,20/09/2025 19:33,fail
79,neutral,anger,0.34,0.11,20/09/2025 19:33,success
79,neutral,disgust,0.28,0.07,20/09/2025 19:33,fail
79,neutral,neutral,0.33,1,20/09/2025 19:33,success
79,neutral,sleepiness,0.32,0.07,20/09/2025 19:33,fail
80,neutral,amused,0.31,0.07,20/09/2025 19:34,fail
80,neutral,anger,0.34,0.11,20/09/2025 19:34,success
80,neutral,disgust,0.28,0.07,20/09/2025 19:34,fail
80,neutral,neutral,0.33,1,20/09/2025 19:34,success
80,neutral,sleepiness,0.32,0.07,20/09/2025 19:34,fail
81,neutral,amused,0.31,0.07,20/09/2025 19:34,fail
81,neutral,anger,0.34,0.11,20/09/2025 19:34,success
81,neutral,disgust,0.28,0.07,20/09/2025 19:34,fail
81,neutral,neutral,0.33,1,20/09/2025 19:34,success
81,neutral,sleepiness,0.32,0.07,20/09/2025 19:34,fail
82,neutral,amused,0.31,0.07,20/09/2025 19:35,fail
82,neutral,anger,0.34,0.11,20/09/2025 19:35,success
82,neutral,disgust,0.28,0.07,20/09/2025 19:35,fail
82,neutral,neutral,0.33,1,20/09/2025 19:35,success
82,neutral,sleepiness,0.32,0.07,20/09/2025 19:35,fail
83,neutral,amused,0.31,0.07,20/09/2025 19:36,fail
83,neutral,anger,0.34,0.11,20/09/2025 19:36,success
83,neutral,disgust,0.28,0.07,20/09/2025 19:36,fail
83,neutral,neutral,0.33,1,20/09/2025 19:36,success
83,neutral,sleepiness,0.32,0.07,20/09/2025 19:36,fail
84,neutral,amused,0.31,0.07,20/09/2025 19:37,fail
84,neutral,anger,0.34,0.11,20/09/2025 19:37,success
84,neutral,disgust,0.28,0.07,20/09/2025 19:37,fail
84,neutral,neutral,0.33,1,20/09/2025 19:37,success
84,neutral,sleepiness,0.32,0.07,20/09/2025 19:37,fail
85,neutral,amused,0.31,0.07,20/09/2025 19:37,fail
85,neutral,anger,0.34,0.11,20/09/2025 19:37,success
85,neutral,disgust,0.28,0.07,20/09/2025 19:38,fail
85,neutral,neutral,0.33,1,20/09/2025 19:38,success
85,neutral,sleepiness,0.32,0.07,20/09/2025 19:38,fail
86,neutral,amused,0.31,0.07,20/09/2025 19:38,fail
86,neutral,anger,0.34,0.11,20/09/2025 19:38,success
86,neutral,disgust,0.28,0.07,20/09/2025 19:38,fail
86,neutral,neutral,0.33,1,20/09/2025 19:38,success
86,neutral,sleepiness,0.32,0.07,20/09/2025 19:38,fail
87,neutral,amused,0.31,0.07,20/09/2025 19:39,fail
87,neutral,anger,0.34,0.11,20/09/2025 19:39,success
87,neutral,disgust,0.28,0.07,20/09/2025 19:39,fail
87,neutral,neutral,0.33,1,20/09/2025 19:39,success
87,neutral,sleepiness,0.32,0.07,20/09/2025 19:39,fail
88,neutral,amused,0.31,0.07,20/09/2025 19:39,fail
88,neutral,anger,0.34,0.11,20/09/2025 19:39,success
88,neutral,disgust,0.28,0.07,20/09/2025 19:39,fail
88,neutral,neutral,0.33,1,20/09/2025 19:39,success
88,neutral,sleepiness,0.32,0.07,20/09/2025 19:39,fail
89,neutral,amused,0.31,0.07,20/09/2025 19:40,fail
89,neutral,anger,0.34,0.11,20/09/2025 19:40,success
89,neutral,disgust,0.28,0.07,20/09/2025 19:40,fail
89,neutral,neutral,0.33,1,20/09/2025 19:40,success
89,neutral,sleepiness,0.32,0.07,20/09/2025 19:40,fail
